"id","team","token_name"
"18642","Linda Leaney","Globcoin"
"18643","Bertrand Weisgerber","Globcoin"
"18644","Helie d'Hautefort","Globcoin"
"18645","Claire Wang","MultiVAC"
"18646","Dr. Shawn Ying","MultiVAC"
"18647","Frank Lyu","MultiVAC"
"18648","Witold Budzioch","MillionCoin"
"18649","Adam Sitko","MillionCoin"
"18650","Mariusz Bieniek","MillionCoin"
"18651","Piotr Watoła","MillionCoin"
"18652","Marcel Wandas","MillionCoin"
"18653","Dawid Walkowski","MillionCoin"
"18654","Szymon Jaworski","MillionCoin"
"18655","Adam Przybyła","MillionCoin"
"18656","Karol Starukiewicz","MillionCoin"
"18657","Michał Błaszczak","MillionCoin"
"18658","Marcin Walkowski","MillionCoin"
"18659","Krzysztof Perek","MillionCoin"
"18660","SJ Min","ZPER"
"18661","Sean Park","ZPER"
"18662","JB Kim","ZPER"
"18663","Pavel Ivanov","LeadRex"
"18664","Evgeny Efimov","LeadRex"
"18665","Deni Skrinnikov","LeadRex"
"18666","Abdulnesir Tursunov","LeadRex"
"18667","Aziz Yusupov","LeadRex"
"18668","Konstantin Skulkin","LeadRex"
"18669","Alexander Babushkin","LeadRex"
"18670","Igor Korsakov","LeadRex"
"18671","Oleg Tarasov","LeadRex"
"18672","Anton Skripka","LeadRex"
"18673","Aleksander Mamasidikov","LeadRex"
"18674","Genzdra Lopez","Fiancia Coin"
"18675","Daniel Pearson","Fiancia Coin"
"18676","Simon Choi","Fiancia Coin"
"18677","Vladimir Nikitin","Fiancia Coin"
"18678","Ali Akbar","Fiancia Coin"
"18679","Johan Akwei","Fiancia Coin"
"18680","Abdul Rafey","Fiancia Coin"
"18681","Laura Zaharia","Fiancia Coin"
"18682","Dr. Vijesh","Fiancia Coin"
"18683","Tom O'Reilly","Fiancia Coin"
"18684","Babar Mahmood","Fiancia Coin"
"18685","Ach Adin Yahya","Neural Protocol"
"18686","Dimas Ardiono","Neural Protocol"
"18687","Aries Solikhan","Neural Protocol"
"18688","Adewale Ajibola","Neural Protocol"
"18689","Risfani Kusuma","Neural Protocol"
"18690","Nikolai Zaitsev","Hamster Marketplace"
"18691","Kirill Pyzhyanov","Hamster Marketplace"
"18692","Arthur Saakov","Hamster Marketplace"
"18693","Ivan Timofeev","Hamster Marketplace"
"18694","Nikita Buzanov","Hamster Marketplace"
"18695","Ekaterina Leontieva","Hamster Marketplace"
"18696","Alexandr Krilov","Hamster Marketplace"
"18697","Sergei Chernoudov","Hamster Marketplace"
"18698","Yuri Chainikov","Hamster Marketplace"
"18699","Johannes Kanter","Hamster Marketplace"
"18700","Valentin Savchenko","Hamster Marketplace"
"18701","John Pawin","Hamster Marketplace"
"18702","Chris Lovell","Hamster Marketplace"
"18703","Julia Petrosyan","Hamster Marketplace"
"18704","Aleksej Sokolov","Hamster Marketplace"
"18705","Aleksandr Karelin","Hamster Marketplace"
"18706","Yegor Kotkin","Hamster Marketplace"
"18707","Denis Bulavin","Hamster Marketplace"
"18708","Andrey Zaitsev","Taklimakan Network"
"18709","Aysilu Khayrullina","Taklimakan Network"
"18710","Viktoria Kovalenko","Taklimakan Network"
"18711","Venera Osman","Taklimakan Network"
"18712","Sinichkin Alexander","Taklimakan Network"
"18713","Constantine Pozdnikin","Taklimakan Network"
"18714","Gregory Zaitsev","Taklimakan Network"
"18715","Rustam Kairy","Taklimakan Network"
"18716","Rashid Yussup","Taklimakan Network"
"18717","Yong Ming Hong","Taklimakan Network"
"18718","Gabriel Andrei","White Rabbit"
"18719","Robin Pedersen","White Rabbit"
"18720","Jon Ramvi","White Rabbit"
"18721","Jon Inge Buli","White Rabbit"
"18722","Jonas Foyn Therkelsen","White Rabbit"
"18723","Adrian Hessel-Rütter","White Rabbit"
"18724","Alan R. Milligan","White Rabbit"
"18725","Ryan Getz","Unification"
"18726","Indika Piyasena","Unification"
"18727","Larry Gandt","Unification"
"18728","Maziar Sadri","Unification"
"18729","Paul Hodgson","Unification"
"18730","Neyma Jahan","Unification"
"18731","Seamus Zhang","Olive"
"18732","Ajax Zhang","Olive"
"18733","Hoàng Khánh Huyền","Olive"
"18734","Dinh Huyen Trang","Olive"
"18735","Sean Shu","Olive"
"18736","Boris","Olive"
"18737","Minjune Kim","Carry"
"18738","Young Kang","Carry"
"18739","Jisun Park","Carry"
"18740","Heeyeun Jeong","Carry"
"18741","Jungwon Yu","Carry"
"18742","Richard Choi","Carry"
"18743","Grant Sohn","Carry"
"18744","Kevin Hsu","CoinMeet"
"18745","Jason Robert","CoinMeet"
"18746","Alan Lee","CoinMeet"
"18747","Dylan Du","CoinMeet"
"18748","Gavin Zheng","CoinMeet"
"18749","Yessen Alimtayev","Vinnd"
"18750","Aigerim Kairatkyzy","Vinnd"
"18751","Ayaulum Alzhan","Vinnd"
"18752","Aruzhan Edilova","Vinnd"
"18753","Torekhan Maratov","Vinnd"
"18754","Darkhan Suleimenov","Vinnd"
"18755","Aizat Zhumatayeva","Vinnd"
"18756","Sultan Sailaubayev","Vinnd"
"18757","Aigerim Zharkyn","Vinnd"
"18758","Amir Shabanov","Vinnd"
"18759","Aidana Kaskyrbek","Vinnd"
"18760","Marat Yerken","Vinnd"
"18761","Jose Laureano","Typerium"
"18762","Frank Martinez Esq, MBA","Typerium"
"18763","Ming Ooi","Typerium"
"18764","Michael Murphy","Typerium"
"18765","Preston Collins","Typerium"
"18766","Vitally Marinchenko","Typerium"
"18767","Jonathan Davoine","Typerium"
"18768","Dean Robinson","Typerium"
"18769","Rick Banks","Typerium"
"18770","Ali Kurtze","Typerium"
"18771","Shahpour Abbasvand","Typerium"
"18772","Alexander Haigh","Typerium"
"18773","Vicky C. Li","EBCoin"
"18774","Gerrard Y. Yang","EBCoin"
"18775","Iris S. Jo","EBCoin"
"18776","Chloe C. Byeon","EBCoin"
"18777","Leo K. Nam","EBCoin"
"18778","Bruce W. Yang","EBCoin"
"18779","Peter King","EBCoin"
"18780","Dustin H. Kim","EBCoin"
"18781","Jason J. Kim","EBCoin"
"18782","Dmitry Dementyev-Dedelis","Hala"
"18783","Dmitriy Gerasimenko","Hala"
"18784","Iurii Kobernyk","Hala"
"18785","Mykyta Bazhenov","Hala"
"18786","Andrii Rudchuk","Hala"
"18787","Morten Larssen","Parsec Frontiers"
"18788","Henning Rokling","Parsec Frontiers"
"18789","Joachim Barrum","Parsec Frontiers"
"18790","Valentin Pantyukh","Parsec Frontiers"
"18791","Ivan Koren","Parsec Frontiers"
"18792","Daria Rodionova","Parsec Frontiers"
"18793","Valerii Kriazhev","Parsec Frontiers"
"18794","Andrey Ashirov","Parsec Frontiers"
"18795","Alexey Antropov","Parsec Frontiers"
"18796","Maxim Pushkar","Parsec Frontiers"
"18797","Trond Johansen","Parsec Frontiers"
"18798","Andrey Tsirulev","Parsec Frontiers"
"18799","Daniel Stakhovskiy","Parsec Frontiers"
"18800","Jack K. Wulff","Parsec Frontiers"
"18801","Ani Avetisyan","AdMine"
"18802","Serhii Shum","AdMine"
"18803","Natalia Shashkova","AdMine"
"18804","Oksana Knyazeva","AdMine"
"18805","Eduard Kucharh","AdMine"
"18806","Vitaliy Kireev","AdMine"
"18807","Max Voronkin","AdMine"
"18808","Denis Kozik","AdMine"
"18809","Kyle Dewhurst","MyBit"
"18810","Ash Halladay","MyBit"
"18811","Joost Toornend","MyBit"
"18812","Connor Howe","MyBit"
"18813","Jose Aguinaga","MyBit"
"18814","Ian Worrall","MyBit"
"18815","Jhon Ryan","KingXChain"
"18816","Jun Kwan-Lee","KingXChain"
"18817","Kim Ling","KingXChain"
"18818","Jung Hyun-Ki","KingXChain"
"18819","Eugene Buev","Membrana"
"18820","Kirill Romanov","Membrana"
"18821","Vyacheslav Mychkin","Membrana"
"18822","Yuriy Gerasimov","Membrana"
"18823","Alexander Malikov","SKYFchain"
"18824","Sergey Shilin","SKYFchain"
"18825","Katya Bublik","SKYFchain"
"18826","Alena Narinyani","SKYFchain"
"18827","Ilya Rodin","SKYFchain"
"18828","Christian Lorentzen","SKYFchain"
"18829","Nail Zinnurov","SKYFchain"
"18830","Olga Budnik","SKYFchain"
"18831","Marat Sabirov","SKYFchain"
"18832","Dmitry Arsentyev","SKYFchain"
"18833","Nickolay Kovshov","SKYFchain"
"18834","Valery Krivenko","SKYFchain"
"18835","Maxim Khabur","SKYFchain"
"18836","Alexander Timofeev","SKYFchain"
"18837","Denis Omelchenko","Tradelize"
"18838","Oleksandr Volynskyi","Tradelize"
"18839","Aleksey Durdo","Tradelize"
"18840","Vladyslav Shyshkin","Tradelize"
"18841","Dmitriy Solyanik","Tradelize"
"18842","Maxim Kovtun","Tradelize"
"18843","Dariya Makarova","Tradelize"
"18844","Oleksii Popovich","Tradelize"
"18845","Diana Ilchuk","Tradelize"
"18846","Maxim Kulik","Tradelize"
"18847","Illia Pashkov","Tradelize"
"18848","Vitalii Kucherenko","Tradelize"
"18849","Igor Sabodakha","Tradelize"
"18850","Anton Zapolskyi","Tradelize"
"18851","Elena Tarasova","Humancoin"
"18852","Nathan van de Ven","Humancoin"
"18853","Marcus Campbell","Humancoin"
"18854","Kai Hsia","Humancoin"
"18855","Aravinda Babu","Humancoin"
"18856","Giles Gailer","Humancoin"
"18857","Giorgi Topuria","CHERR.IO"
"18858","Jure Bauman","CHERR.IO"
"18859","Vesna Krajacic","CHERR.IO"
"18860","Uros Horvat","CHERR.IO"
"18861","Denis Gorican","CHERR.IO"
"18862","David Perger","CHERR.IO"
"18863","Rok Klancnik","CHERR.IO"
"18864","Simon Sovic","CHERR.IO"
"18865","Bostjan Kovac","CHERR.IO"
"18866","Simon Furman","CHERR.IO"
"18867","Alen Breznik","CHERR.IO"
"18868","Aljaz Straser","CHERR.IO"
"18869","Mario Markovic","CHERR.IO"
"18870","David Tacer","CHERR.IO"
"18871","Cosmin Rusu","Kuende"
"18872","Razvan Carstea","Kuende"
"18873","Alexandru Tache","Kuende"
"18874","Daniel Bugarin","Kuende"
"18875","Mihnea Rafailescu","Kuende"
"18876","Teodor Pripoae","Kuende"
"18877","Dan Tudor","Kuende"
"18878","Pavel Antohe","Kuende"
"18879","Dmitry Nazarenko","HyperQuant"
"18880","Alex Kuklin","HyperQuant"
"18881","Olga Bystrova","HyperQuant"
"18882","Andrew Plotnikov","HyperQuant"
"18883","Alex Jadaev","HyperQuant"
"18884","Dmitry Plohov","HyperQuant"
"18885","Paul Rogov","HyperQuant"
"18886","Pavel Pavchenko","HyperQuant"
"18887","Miglė Rastauskaitė","Unboxed"
"18888","Andrius Pocius","Unboxed"
"18889","Dovydas Reinikevičius","Unboxed"
"18890","Augustinas Tarabilda","Unboxed"
"18891","Theodosis Mourouzis, PhD","Unboxed"
"18892","Vytenis Narušis","Unboxed"
"18893","Donatas Smailys","Unboxed"
"18894","Tadas Deksnys","Unboxed"
"18895","Anzhel Milenov","ALL BEST ICO"
"18896","Plamen Vasilev - Paco","ALL BEST ICO"
"18897","Rea Achalker","VeriDocGlobal"
"18898","Alan Teng","VeriDocGlobal"
"18899","Low Chin Tai","VeriDocGlobal"
"18900","Daniel da Silva Lay","VeriDocGlobal"
"18901","Lindsay Moloney","VeriDocGlobal"
"18902","Guy Scott","VeriDocGlobal"
"18903","Cooz Komei Tokita","Ubex"
"18904","Kathrin Anthony","Ubex"
"18905","Andrew Rippon","Ubex"
"18906","Dan Gartman","Ubex"
"18907","Daniel Biesuz","Ubex"
"18908","Artem Chestnov","Ubex"
"18909","Frank","CoinMetro Token"
"18910","Sylvain Legay","CoinMetro Token"
"18911","Mikko Kauhanen","CoinMetro Token"
"18912","Giovanni Ziccardi","CoinMetro Token"
"18913","DunHao Zhuang","CoinMetro Token"
"18914","Kevin Murcko","CoinMetro Token"
"18915","Sandra Rausch","Creditcoin"
"18916","Tony Chaw","Creditcoin"
"18917","Yasir Hossain","Creditcoin"
"18918","Morteza Nokhodian","Creditcoin"
"18919","Ali Sammour","Creditcoin"
"18920","Wang han","Davinci Coin"
"18921","Singi Jeong","Davinci Coin"
"18922","Jaemin Shin","Davinci Coin"
"18923","Zachary Moon","Davinci Coin"
"18924","SangWoong Cho","Davinci Coin"
"18925","Minjae Kim","Davinci Coin"
"18926","Andrew Fenton","Nauticus"
"18927","Chris Le","Nauticus"
"18928","Sam Liao","Nauticus"
"18929","Andy Wang","Nauticus"
"18930","Josh Yu","Nauticus"
"18931","Alex Redwood","Nauticus"
"18932","Nadeem Shaikh","Nauticus"
"18933","Dr. Yinjun Tu, PhD","Nauticus"
"18934","Dr. Brendan Sai Jiao, PhD","Nauticus"
"18935","Barry Cheng","Nauticus"
"18936","Hong Huynh","Nauticus"
"18937","Jonathan Chang","Nauticus"
"18938","Bryan Ng","Nauticus"
"18939","Troy Martin","Swytch Energy Token"
"18940","Shawn Harmsen","Swytch Energy Token"
"18941","Eric Miller","Swytch Energy Token"
"18942","Youngsook Park","Swytch Energy Token"
"18943","Andrew Pearsons","Swytch Energy Token"
"18944","John Clippinger","Swytch Energy Token"
"18945","John Redpath","Swytch Energy Token"
"18946","Evan Caron","Swytch Energy Token"
"18947","Sara Fitzwilliam","Social"
"18948","Selena Bunting","Social"
"18949","Amir Zahedi","Social"
"18950","Gareth Benjamin","Social"
"18951","Ryan Dobbs","Social"
"18952","Jade Mulholland","Social"
"18953","Sean Brizendine","LOCIcoin"
"18954","Dan Emmons","LOCIcoin"
"18955","Abdelal Ali","LOCIcoin"
"18956","Hudson Burgess","LOCIcoin"
"18957","Nivas Narayanasamy","LOCIcoin"
"18958","Harjit Singh","LOCIcoin"
"18959","Eric Ross","LOCIcoin"
"18960","Brian Hwang","LOCIcoin"
"18961","John Wise","LOCIcoin"
"18962","Ben Stevens","BlockCAT"
"18963","Gurbraj Kang","BlockCAT"
"18964","Shayne Krogfross","BlockCAT"
"18965","Giuseppe Burtini","BlockCAT"
"18966","Ryan Smylski","BlockCAT"
"18967","Eric Huang","BlockCAT"
"18968","Thomas de Wolf","CombiCoin"
"18969","Guust Hilte","CombiCoin"
"18970","Don Molenaar","CombiCoin"
"18971","Evan Roth","MedCredits"
"18972","Shane van Coller","MedCredits"
"18973","Sergey Ilin","MedCredits"
"18974","John Todaro","MedCredits"
"18975","Ryan Cody","MedCredits"
"18976","Joseph Todaro","MedCredits"
"18977","Moshe Praver, MD","MedCredits"
"18978","James M Todaro, MD","MedCredits"
"18979","Benjamin Benko","Etheal"
"18980","Janka Bauer","Etheal"
"18981","Dorina Pardi","Etheal"
"18982","Gabriel Cseri","Etheal"
"18983","Levente Toth","Etheal"
"18984","Laszlo Marai","Etheal"
"18985","Viktor Tabori","Etheal"
"18986","Mihaly Kertesz","Etheal"
"18987","Damian Williams","Lendingblock"
"18988","Qing Xian Lee","Lendingblock"
"18989","Julien Klepatch","Lendingblock"
"18990","Bryan Du","Lendingblock"
"18991","Luca Sbardella","Lendingblock"
"18992","Linda Wang","Lendingblock"
"18993","Steve Swain","Lendingblock"
"18994","Hala Salah Eldin","RedCab"
"18995","Hassan Hussien","RedCab"
"18996","Ragy Albeer","RedCab"
"18997","Majed Morsi","RedCab"
"18998","Anna Basters","RedCab"
"18999","Amr","RedCab"
"19000","Fadi Nashed","RedCab"
"19001","Mohamed Ameen","RedCab"
"19002","Asser Yehia","RedCab"
"19003","Walid ElGendy","RedCab"
"19004","Mohamed Mousa","RedCab"
"19005","Micah J. Matthews","P2P Global Network"
"19006","Elza Hovhannisyan","P2P Global Network"
"19007","Alexander Samardzija","P2P Global Network"
"19008","Tapendra Shee","P2P Global Network"
"19009","Kimmey Gholar","P2P Global Network"
"19010","Keeley C. Wilkinson","P2P Global Network"
"19011","Tony Yip","Smartup"
"19012","Louie Kang","Smartup"
"19013","Allen Zhang","Smartup"
"19014","SY Chan","Smartup"
"19015","Ender Xu","Smartup"
"19016","Fay Lam","Smartup"
"19017","Ric Wu","Smartup"
"19018","Ken Misuma","QURAS"
"19019","Andrew Wong","QURAS"
"19020","Yuan Zhuang","QURAS"
"19021","Shigeki Kakutani","QURAS"
"19022","Windy Duan","Engine"
"19023","Eliza Jiao","Engine"
"19024","Shawn Yan","Engine"
"19025","Max Tang","Engine"
"19026","Anastasia Gubina","Zenome"
"19027","Sergey Popov","Zenome"
"19028","Vladimir Naumov","Zenome"
"19029","Nikolay Kulemin","Zenome"
"19030","Alexey Gorbachev","Zenome"
"19031","Alex Ramirez","PokerSports"
"19032","Alec Miller","PokerSports"
"19033","Jeremy Thacker","PokerSports"
"19034","Raymond Flores","PokerSports"
"19035","Nick Brazzoni","PokerSports"
"19036","Kyler Tolefree","PokerSports"
"19037","Minkyung Lee","Muzika"
"19038","William Wu","Muzika"
"19039","Jungwoo Lee","Muzika"
"19040","Chaehong Jeong","Muzika"
"19041","Seungwon Kang","Muzika"
"19042","Jangwon Lee","Muzika"
"19043","Sangmin Heo","Muzika"
"19044","Inseo Chung","Muzika"
"19045","Joanna Chilicka","Gosama"
"19046","Alex Hoang","Gosama"
"19047","Minh Pham","Gosama"
"19048","Thanh Le","Gosama"
"19049","Chris Hardaker","WOM Protocol"
"19050","Melanie Mohr","WOM Protocol"
"19051","Roman Kents","Agrolot"
"19052","Roman Korol","Agrolot"
"19053","Nikolay Baranov","Agrolot"
"19054","Alex Makarov","Agrolot"
"19055","Vitaliy Melnyk","Agrolot"
"19056","Alex Filin","Agrolot"
"19057","Marilyn Gutiérrez","Tronipay"
"19058","Paulo Samuels","Tronipay"
"19059","Glaidson Acacio","Tronipay"
"19060","Krosley Santos","Tronipay"
"19061","Tim Harton","Amino Network"
"19062","Felix Xia","Amino Network"
"19063","Cameron Walker","Amino Network"
"19064","Michael O’Sullivan","Amino Network"
"19065","Andrey Petrov","Hyperion Fund"
"19066","Noel Shannon","Hyperion Fund"
"19067","Alexander Volynets","Hyperion Fund"
"19068","Greg Thain","Hyperion Fund"
"19069","Rali Ralev","ZAN Coin"
"19070","Todor Boyadzhiev","ZAN Coin"
"19071","Henrik Madsen","ZAN Coin"
"19072","Tao Chang","Insight Chain"
"19073","Claudius Tsang","Insight Chain"
"19074","Charles Yan","Insight Chain"
"19075","Lifeng Liu","Insight Chain"
"19076","Jason Ji","Insight Chain"
"19077","Lisa Yang","Insight Chain"
"19078","Jinkyu Kim","Incodium"
"19079","Jay Lee","Incodium"
"19080","J'Healee","Incodium"
"19081","Fred Kim","Incodium"
"19082","Martin Jang","Incodium"
"19083","Daniel Park","Incodium"
"19084","Dino Bassanese","EventChain"
"19085","Lance Shaler","EventChain"
"19086","Chong Foo Chaw","EventChain"
"19087","Jesse Couch","EventChain"
"19088","Bogdan Fiedur","EventChain"
"19089","Ashton Addison","EventChain"
"19090","Jacob Yim","QunQun"
"19091","Larry Deng","QunQun"
"19092","Jim Yang","QunQun"
"19093","Samuel Wei","QunQun"
"19094","Jack Wang","QunQun"
"19095","Neso Ou","QunQun"
"19096","Max Kostin","IOU"
"19097","Vladislav Frantz","IOU"
"19098","Vitaly Garshtya","IOU"
"19099","Vladimir Shevchenko","IOU"
"19100","Satyanarayana Pavuluri","EvoChain"
"19101","Sasha Singleton","EvoChain"
"19102","Timothy Frantz","EvoChain"
"19103","Raja Challagulla","EvoChain"
"19104","Leo Hong","EvoChain"
"19105","Jiaqi Duan","EvoChain"
"19106","Daniel Bullington","EvoChain"
"19107","Spencer Lee","EvoChain"
"19108","Joseph Maresca","EvoChain"
"19109","Brent Beeman","EvoChain"
"19110","Matthew Long","EvoChain"
"19111","Joshua Smith","EvoChain"
"19112","Wen Yan","TrueChain"
"19113","Yan Liu","TrueChain"
"19114","Paulas Pham","TrueChain"
"19115","Hillary Nguyen","TrueChain"
"19116","Larry Lin","TrueChain"
"19117","James Cheng","TrueChain"
"19118","Jose Enrique Hernandez","Lucyd"
"19119","Mike Kayat, Ph.D., MBA","Lucyd"
"19120","Harrison Gross","Lucyd"
"19121","Eric Cohen","Lucyd"
"19122","Konrad Dabrowski, CPA","Lucyd"
"19123","Clifford Gross, Ph.D., MBA","Lucyd"
"19124","Tyler Winklevoss","Gemini Dollar"
"19125","Cameron Winklevoss","Gemini Dollar"
"19126","Raymond Reddington","UAHPay"
"19127","Chris Robinson","UAHPay"
"19128","Oleksandr Savchenko","UAHPay"
"19129","David Frances","Homelend"
"19130","Eliran Madar","Homelend"
"19131","Vinod Morkile","Homelend"
"19132","Sol Alvarado Quijano","Homelend"
"19133","Ram Stivi","Homelend"
"19134","Kanat Tulbassiyev","Homelend"
"19135","Michael Tanfilov","Homelend"
"19136","Amir Nahmias","Homelend"
"19137","Ricardo Henriquez","Homelend"
"19138","Netanel Bitan","Homelend"
"19139","Itai Cohen","Homelend"
"19140","Asher Dory","Homelend"
"19141","Wang Donfeng","Yee"
"19142","Wu Yunkun","Yee"
"19143","Wu Yongming","Yee"
"19144","Ruan Long","Yee"
"19145","Xu Jiajun","Yee"
"19146","Zhang Lei","Yee"
"19147","Begonia Garrido","DomRaider"
"19148","Delphine Delaire","DomRaider"
"19149","Damien Henriques","DomRaider"
"19150","Vincent Vermersch","DomRaider"
"19151","Christophe David","DomRaider"
"19152","Tristan Colombet","DomRaider"
"19153","Yuliana Yarotska","Enkronos"
"19154","Nejc Cotič","Enkronos"
"19155","Matej Hladnik","Enkronos"
"19156","Niko Bergles","Enkronos"
"19157","Tomaž Uršič","Enkronos"
"19158","Matjaž Prijatelj","Enkronos"
"19159","Mojca Mir","Enkronos"
"19160","Jan Rožič","Enkronos"
"19161","Luka Mladenović","Enkronos"
"19162","Špela Mermolja","Enkronos"
"19163","Jure Veler","Enkronos"
"19164","Gianluca Busato","Enkronos"
"19165","HyunSook Park","MIB Coin"
"19166","David Han","MIB Coin"
"19167","Michael Kim","MIB Coin"
"19168","SangShin Park","MIB Coin"
"19169","Tracy JI","MIB Coin"
"19170","Jaden Park","MIB Coin"
"19171","Phil Guest","Cryptov8"
"19172","Richard Wailes","Cryptov8"
"19173","Paul Miles","Cryptov8"
"19174","Ian Rogers","Cryptov8"
"19175","Jonathan Atkinson","Cryptov8"
"19176","Jacob Christiansen","Cryptov8"
"19177","Andrew Garbuzov","ZEEW"
"19178","Artur Melecis","ZEEW"
"19179","Ciprian Khlud","ZEEW"
"19180","Denis Kaibagarov","ZEEW"
"19181","Mohamed Ghaith","ZEEW"
"19182","Steven Geros","Zap"
"19183","Hamdan Azhar","Zap"
"19184","Tom St Laurent","Zap"
"19185","Ben Young","Zap"
"19186","Nick Spanos","Zap"
"19187","Wang Yiyi","NSS Coin"
"19188","Guo Lei","NSS Coin"
"19189","Coneys pouk","NSS Coin"
"19190","Dovem Moer","NSS Coin"
"19191","Alex Matjane","HUDDL"
"19192","Lance Weaver","HUDDL"
"19193","Kurt Bierbower","HUDDL"
"19194","Vishal Karir","HUDDL"
"19195","Stephen Corliss","HUDDL"
"19196","Leandro Ferigo","AutoBay"
"19197","Lucas Taylor","AutoBay"
"19198","Camila Lejbowicz","AutoBay"
"19199","Prof. Sofia Serrano","AutoBay"
"19200","Alejo Serrano","AutoBay"
"19201","Igor Velickovic","CRWD Network"
"19202","Daniel Pömmer","CRWD Network"
"19203","Lara Scheibner","CRWD Network"
"19204","Hannah Sturm","CRWD Network"
"19205","Sascha Manhart","CRWD Network"
"19206","Erika Boon","CRWD Network"
"19207","Michael Lipper","CRWD Network"
"19208","Katharina Ehrenfellner","CRWD Network"
"19209","Andreas Heissenberger","CRWD Network"
"19210","Karin Turki","CRWD Network"
"19211","Paul Pöltner","CRWD Network"
"19212","Daniel Horak","CRWD Network"
"19213","James Downton","Monetha"
"19214","Viaceslavas Ruckis","Monetha"
"19215","Erikas Mališauskas","Monetha"
"19216","Laurynas Jokubaitis","Monetha"
"19217","Andrej Ruckij","Monetha"
"19218","Justas Pikelis","Monetha"
"19219","William Galebach","Blockmason"
"19220","Kenneth Cornutt","Blockmason"
"19221","Matt Smithies","Blockmason"
"19222","Jared Bowie","Blockmason"
"19223","Timothy Galebach","Blockmason"
"19224","Michael Chin","Blockmason"
"19225","Jhomar Montoya","YoloCash"
"19226","Florence Sangrenes","YoloCash"
"19227","Lowela Francisco","YoloCash"
"19228","Haggai Paler","YoloCash"
"19229","Joel Peñafiel","YoloCash"
"19230","Gamie Arroyo","YoloCash"
"19231","Jacqueline Rudin","PKG Token"
"19232","Manuel Meyer","PKG Token"
"19233","Andreas Gromann","PKG Token"
"19234","Nico Eigenmann","PKG Token"
"19235","Sali Wehrle","PKG Token"
"19236","Rudolf Schmit","PKG Token"
"19237","Alex Karelov","Ventureon"
"19238","Irina Veretennikova","Ventureon"
"19239","Dmitriy Zakharov","Ventureon"
"19240","Dietmar Gutgarts","Ventureon"
"19241","Vladimir Malakchi","Ventureon"
"19242","Anton Sobor","Ventureon"
"19243","Vitaliy Serbulenko","Ventureon"
"19244","Zhengpeng Li","MOAC"
"19245","Qing Xu","MOAC"
"19246","Xinle Yang","MOAC"
"19247","David Chen","MOAC"
"19248","Sha Zhou","MOAC"
"19249","Tobias Disse","Proof"
"19250","Leon Song","Proof"
"19251","Eunseo Kim","Proof"
"19252","Jason Holmes","Proof"
"19253","Phillip Jun","Proof"
"19254","David Van Isacker","Proof"
"19255","Mike De'Shaze","Proof"
"19256","Tai Kersten","Proof"
"19257","Bob Lu","WinToken"
"19258","Xing Jin","WinToken"
"19259","Emílio Jacinto","WinToken"
"19260","John Niu","WinToken"
"19261","Adam Zhang","WinToken"
"19262","Forrest Nie","WinToken"
"19263","Charles Song","WinToken"
"19264","Francis Calina","Gamico"
"19265","Christabel Lum","Gamico"
"19266","Paddy Fong","Gamico"
"19267","Samantha Cheung","Gamico"
"19268","Cham Wong","Gamico"
"19269","Patrick Chan","Gamico"
"19270","Pak Hou Chau","Gamico"
"19271","Uros Radovanovic","Decentralized News Network"
"19272","Andrej Cvoro","Decentralized News Network"
"19273","Mališa Pušonja","Decentralized News Network"
"19274","Dondrey Taylor","Decentralized News Network"
"19275","Samit Singh","Decentralized News Network"
"19276","Mentor Shala","WPP Token"
"19277","Ziao Dramane","WPP Token"
"19278","Grace Duke Don Kristian Frich","WPP Token"
"19279","Troy Macdonald","WPP Token"
"19280","Robert Kohn","WPP Token"
"19281","Rafael Ben","WPP Token"
"19282","Xie Jian","Read"
"19283","Wee Yen Ye","Farad"
"19284","Azli Noor","Farad"
"19285","Hisham Ismail","Farad"
"19286","Richard Imran Ding","Farad"
"19287","Rashdan Ibrahim","Farad"
"19288","Dr. Wan M Hasni","Farad"
"19289","Dean Simcock","Whyral"
"19290","Sahil Goel","Whyral"
"19291","Md. Mustafa","Whyral"
"19292","Anmol Gupta","Whyral"
"19293","P H Sai Kiran","Whyral"
"19294","Shivam Phutela","Whyral"
"19295","Sahil Dabas","Whyral"
"19296","Aditi Sharma","Whyral"
"19297","Neha Jain","Whyral"
"19298","Gregg Lewis","Whyral"
"19299","Destiny Aigbe","Whyral"
"19300","Tarek Zeidan","Whyral"
"19301","Rabih Kassab","Whyral"
"19302","Ali Kassab","Whyral"
"19303","Sooraj Singh","Whyral"
"19304","Saurabh Goel","Whyral"
"19305","Ben Boyadjian","DIW Token"
"19306","Constantina Samara","DIW Token"
"19307","Nikolas Konstantinou","DIW Token"
"19308","Anton Bogdanov","DIW Token"
"19309","George Zachariou","DIW Token"
"19310","Chrysanthos Nonis","DIW Token"
"19311","Michael Jakobsen","DIW Token"
"19312","Steven Nonis","DIW Token"
"19313","Lucas Andrew H.","DIW Token"
"19314","Simon Zenios","DIW Token"
"19315","Christopher Zenios","DIW Token"
"19316","Stephanos Constantinou","DIW Token"
"19317","İsmail Hakkı Polat","OWNDATA"
"19318","Rifat Elhadef","OWNDATA"
"19319","Brian Wu","OWNDATA"
"19320","Jun Hao","OWNDATA"
"19321","Aydın Çamlıbel","OWNDATA"
"19322","Andrea Febbraio","OWNDATA"
"19323","Chris Parker","doc.com Token"
