"id","team","token_name"
15466,"Giuseppe Stuto","Bitcoin Private"
15467,"Jacob Brutman, Ph.D.","Bitcoin Private"
15468,"Rhett Creighton","Bitcoin Private"
15469,"Jan M. Pasboel","Global Cryptocurrency"
15470,"Baba","Ammo Reloaded"
15471,"Moz","Ammo Reloaded"
15472,"Dan","Ammo Reloaded"
15473,"Toxic","Ammo Reloaded"
15474,"Chinafreak","Ammo Reloaded"
15475,"Alex","Ammo Reloaded"
15476,"Christian Bianchini","LAPO Blockchain"
15477,"Silvio Rainoldi","LAPO Blockchain"
15478,"Tayo Akintoye","LAPO Blockchain"
15479,"Mariyam Seguias Alì","LAPO Blockchain"
15480,"Damian Wood","LAPO Blockchain"
15481,"Christian Albera","LAPO Blockchain"
15482,"Philipp Wollschlaeger","LAPO Blockchain"
15483,"Luiis Franceschi","LAPO Blockchain"
15484,"Benedict Wollschlaeger","LAPO Blockchain"
15485,"Marat Kutaranov","Uniform Fiscal Object"
15486,"Daimyo","Uniform Fiscal Object"
15487,"Rick Xonar","Uniform Fiscal Object"
15488,"Peter Bushnell","Uniform Fiscal Object"
15489,"Ji Hoon Yun","W3Coin"
15490,"Jun Suk Park","W3Coin"
15491,"Rodger Redson Rodrigues","W3Coin"
15492,"John Hill","W3Coin"
15493,"Marcello Monaco","W3Coin"
15494,"Juri Vasselli","W3Coin"
15495,"Dou Wang","Lightning Bitcoin [Futures]"
15496,"Qianjie Zhao","Lightning Bitcoin [Futures]"
15497,"Loning","Lightning Bitcoin [Futures]"
15498,"Wenxiang Mei","Lightning Bitcoin [Futures]"
15499,"Jun Du","Lightning Bitcoin [Futures]"
15500,"Jack Zhang","Lightning Bitcoin [Futures]"
15501,"Marco Ferreira","United Bitcoin"
15502,"Wouter van der Schagt","United Bitcoin"
15503,"Alex Yang","United Bitcoin"
15504,"Matthew Roszak","United Bitcoin"
15505,"SongXiu Hua","United Bitcoin"
15506,"Jeff Garzik","United Bitcoin"
15507,"JiaPeng Lin","Super Bitcoin [Futures]"
15508,"Li Xiao Lai","Super Bitcoin [Futures]"
15509,"Ranger Shi","Super Bitcoin [Futures]"
15510,"Vlad Turtoi","TokenPay"
15511,"Laurance Gerges","TokenPay"
15512,"Aaron Tian","TokenPay"
15513,"Senen Garcia","TokenPay"
15514,"John Singh","TokenPay"
15515,"Joseph Pacetti","TokenPay"
15516,"Carlos Salazar","TokenPay"
15517,"Derek Capo","TokenPay"
15518,"David Lee","Hdac"
15519,"Yong-hoon Kim","Hdac"
15520,"Ho-Young Yang","Hdac"
15521,"Seung-Jun Ro","Hdac"
15522,"Nak-Jin Kim","Hdac"
15523,"Jae-Hoon Kim","Hdac"
15524,"Il-hun Chung","Hdac"
15525,"Joong-Bum Choi","Hdac"
15526,"Jae-Min Lee","Hdac"
15527,"Devon Choi","Hdac"
15528,"William Chun","Hdac"
15529,"Dae-Sun Chung","Hdac"
15530,"Isaac Rodgin","Zen Protocol"
15531,"Eleanor Milstein","Zen Protocol"
15532,"Doron Somech","Zen Protocol"
15533,"Elan Perach","Zen Protocol"
15534,"Asher Manning","Zen Protocol"
15535,"Sharon Urban","Zen Protocol"
15536,"Nathan Cook","Zen Protocol"
15537,"Adam Perlow","Zen Protocol"
15538,"Konstantin Chanchikov","TravelChain"
15539,"Sabina Gurbanova","TravelChain"
15540,"Zurab Shivarbidze","TravelChain"
15541,"Artem Bogomolov","TravelChain"
15542,"Pavel Dorozkhin","TravelChain"
15543,"Yury Anikin","TravelChain"
15544,"Anton Kolonin","TravelChain"
15545,"Orkhan Zeynally","TravelChain"
15546,"Alexey Solovyev","TravelChain"
15547,"Alexey Muravjev","TravelChain"
15548,"Ilya Orlov","TravelChain"
15549,"Ethan Clark","VINChain"
15550,"Gordon Hansen","VINChain"
15551,"Anastasiya Kazakova","VINChain"
15552,"Sergei Shostyr","VINChain"
15553,"Sеrgеi Pаkhоmоv","VINChain"
15554,"Aleksey Listopad","VINChain"
15555,"Stacy Denver","VINChain"
15556,"Andrei Krainik","VINChain"
15557,"Alex Miles","VINChain"
15558,"Dr. Gagik Karapetyan","Publiq"
15559,"Dr. Tigran Ghahramanyan","Publiq"
15560,"Vazgen Manukyan","Publiq"
15561,"Hayk Hayotsyan","Publiq"
15562,"Cornelius Lipp","Publiq"
15563,"Muhammed Gali","Publiq"
15564,"Ekaterina Kabakchi","Publiq"
15565,"Tiffany Maria Obser","Publiq"
15566,"Gagik Yeghiazarian","Publiq"
15567,"Arutyun Pogosyan","Publiq"
15568,"Arman Aleksanian","Publiq"
15569,"Alexandre Tabbakh","Publiq"
15570,"Cuneyt Baris","TopiaCoin"
15571,"Sean Gray","TopiaCoin"
15572,"Jeff Pack","TopiaCoin"
15573,"Cody Sandwith","TopiaCoin"
15574,"Dan Joslin","TopiaCoin"
15575,"John Haager","TopiaCoin"
15576,"Jeff Cesari","TopiaCoin"
15577,"Janine Terrano","TopiaCoin"
15578,"Vinodh","Copico"
15579,"Avinash","Copico"
15580,"VSK Chaitanya","Copico"
15581,"Dr. John Woo","WINCOIN"
15582,"Hyo Park","WINCOIN"
15583,"Jovian Tan","WINCOIN"
15584,"Xiao Mi","WINCOIN"
15585,"Drew M. Mealey","Lethean"
15586,"Francisco Ribeiro","Lethean"
15587,"Pallas","Lethean"
15588,"Miguel Alfaiate","Lethean"
15589,"Vladimir Jirasek","Lethean"
15590,"Valiant","Lethean"
15591,"Mr. Backwards","Interstellar Holdings"
15592,"Lmaan786","Interstellar Holdings"
15593,"Shirou","Interstellar Holdings"
15594,"Lionz","Interstellar Holdings"
15595,"Konez2k","Interstellar Holdings"
15596,"Azuraes","Interstellar Holdings"
15597,"Maxim van Dijk","AdCoin"
15598,"Anne Douwe Bouma","AdCoin"
15599,"Ricardo Oosterling","AdCoin"
15600,"Jerry Donker","AdCoin"
15601,"Niels-Jan van der Hoek","AdCoin"
15602,"Patrick van Dijl","AdCoin"
15603,"Yevhen Adamenko","Skeincoin"
15604,"Zoran Marić","Skeincoin"
15605,"Neil Shepherd","Skeincoin"
15606,"Zoran Ilišković","Skeincoin"
15607,"Olivier Van Gysel","Skeincoin"
15608,"Andrei Kisarin","Skeincoin"
15609,"Sergey Mironov","Skeincoin"
15610,"Red Kendra","Skeincoin"
15611,"Andrey Chernyy","MinexCoin"
15612,"Alex Kucherov","MinexCoin"
15613,"Roma Hulenko","MinexCoin"
15614,"Vladyslav Zaichuk","MinexCoin"
15615,"Ruslan Babych","MinexCoin"
15616,"Boris Shulyaev","MinexCoin"
15617,"Nick Kauffman","BuzzCoin"
15618,"Chris Walker","BuzzCoin"
15619,"Tonda","BuzzCoin"
15620,"Matthias Gottschalk","BuzzCoin"
15621,"Maxim Polyarniy","BuzzCoin"
15622,"Austin Witherow","BuzzCoin"
15623,"Dmitry Marinichev","Russian Mining Coin"
15624,"Boris Zyryanov","Russian Mining Coin"
15625,"Sergei Bobylev","Russian Mining Coin"
15626,"Steve Mulligan","Ellaism"
15627,"Krzysztof Pawliczuk","Ellaism"
15628,"Ellaismer","Ellaism"
15629,"Alexander Haslam","Pirl"
15630,"Martin Merfort","Pirl"
15631,"Christian Nowak","Pirl"
15632,"Chris Bischoff","Pirl"
15633,"Julian Franken","Pirl"
15634,"Julien du Bois","Pirl"
15635,"Joker","Rupaya"
15636,"Gabriel","Rupaya"
15637,"Reefy","Rupaya"
15638,"Letoir","Rupaya"
15639,"mn.zone_dev","Rupaya"
15640,"Aasim","Rupaya"
15641,"Vyker","Piggycoin"
15642,"Nik","Piggycoin"
15643,"Paul","Piggycoin"
15644,"João","Piggycoin"
15645,"Mo","Piggycoin"
15646,"Neurocis","Piggycoin"
15647,"Amber Hancock","WhaleCoin"
15648,"Rhett Creighton","WhaleCoin"
15649,"Parth Oberoi","WhaleCoin"
15650,"Miguel Gastélum","ProCurrency"
15651,"Hugo Camargo","ProCurrency"
15652,"RKana","ProCurrency"
15653,"Christian Orduño","ProCurrency"
15654,"Irving Gerardo","ProCurrency"
15655,"Carlos Contreras","ProCurrency"
15656,"Jonathan Plews","MaxCoin"
15657,"Oliver Morris","MaxCoin"
15658,"Mario Juarez","MaxCoin"
15659,"Stacy Herbert","MaxCoin"
15660,"Max Keiser","MaxCoin"
15661,"David Serrano","MaxCoin"
15662,"Cryptxo","KekCoin"
15663,"Lorenz","KekCoin"
15664,"Alaniz","KekCoin"
15665,"Satoshis Cat","KekCoin"
15666,"Jacob Kerr","TrezarCoin"
15667,"Renaud Loubert-Aledo","TrezarCoin"
15668,"Fenrisl","TrezarCoin"
15669,"Christian Ziegler","TrezarCoin"
15670,"David Walton","TrezarCoin"
15671,"Oliver Ziegler","TrezarCoin"
15672,"Malafaya","Crypto Bullion"
15673,"Alexandre","Crypto Bullion"
15674,"VonSpass","Crypto Bullion"
15675,"Chris ""eLambert""","Crypto Bullion"
15676,"Mayrene Salcedo","Onix"
15677,"Rodolfo Palacio","Onix"
15678,"Jose Cortez","Onix"
15679,"Angel Bejarano","Onix"
15680,"Pablo Perez","Onix"
15681,"Angel Salazar","Onix"
15682,"Gatra","Riecoin"
15683,"Rachel","HyperStake"
15684,"Carrie","HyperStake"
15685,"Jeremy","HyperStake"
15686,"James","HyperStake"
15687,"Ben","HyperStake"
15688,"Tom","HyperStake"
