"id","exchange","token_name"
943,"Symbiosis Labs","0x"
944,"Swapzone","0x"
945,"Rain","0x"
946,"Poloniex","0x"
947,"Nash","0x"
948,"dex.blue","0x"
949,"DeversiFi","0x"
950,"Coinbase","0x"
951,"Circle","0x"
952,"Amplify Exchange","0x"
953,"Symbiosis Labs","Gnosis"
954,"Kraken","Gnosis"
955,"dex.blue","Gnosis"
956,"Symbiosis Labs","IDEX"
957,"Huobi Global","Huobi Token"
958,"FTX","Huobi Token"
959,"Bityard","Huobi Token"
960,"ZBG","ZB Token"
961,"ZB.com","ZB Token"
962,"ZBG","ZBG Token"
963,"Crypto.com","MCO"
964,"MXC","MX Token"
965,"BigONE","BigONE Token"
966,"ChangeNOW","NOW Token"
967,"SwissBorg","BitShares"
968,"Bitspark","BitShares"
969,"Nash","Nash Exchange"
970,"DeversiFi","Nectar"
971,"DeversiFi","FunFair"
972,"Coinbase","NuCypher"
973,"Kraken","Enzyme"
974,"WhaleFin","Solana"
975,"SwissBorg","Ren"
976,"Coinbase","Ren"
977,"Swapzone","Ontology"
978,"MXC","Ontology"
979,"Exolix","Ontology"
980,"Anycoin Direct","Ontology"
981,"Symbiosis Labs","Band Protocol"
982,"Coinbase","Band Protocol"
983,"Symbiosis Labs","Ampleforth"
984,"Show all","Chainlink"
985,"Symbiosis Labs","Chainlink"
986,"SmartFi","Chainlink"
987,"OKX","Chainlink"
988,"Nash","Chainlink"
989,"Gemini","Chainlink"
990,"FTX","Chainlink"
991,"dex.blue","Chainlink"
992,"Currency.com","Chainlink"
993,"Crypto.com","Chainlink"
994,"Coinbase","Chainlink"
995,"CODEX","Chainlink"
996,"Bitbuy","Chainlink"
997,"Currency.com","Uniswap"
998,"Coinbase","Uniswap"
999,"Symbiosis Labs","SushiSwap"
1000,"Coinbase","SushiSwap"
1001,"Symbiosis Labs","Bancor"
1002,"Coinbase","Bancor"
1003,"Symbiosis Labs","Curve DAO Token"
1004,"Symbiosis Labs","Kyber Network"
1005,"SwissBorg","Kyber Network"
1006,"Coinbase","Kyber Network"
1007,"Symbiosis Labs","Balancer"
1008,"Coinbase","Balancer"
1009,"Symbiosis Labs","Aave"
1010,"Coinbase","Aave"
1011,"Bitbuy","Aave"
1012,"Symbiosis Labs","Compound"
1013,"SwissBorg","Compound"
1014,"Currency.com","Compound"
1015,"Coinbase","Compound"
1016,"Symbiosis Labs","Maker"
1017,"Swapzone","Maker"
1018,"Rain","Maker"
1019,"dex.blue","Maker"
1020,"DeversiFi","Maker"
1021,"Symbiosis Labs","bZx Protocol"
1022,"Symbiosis Labs","Cream Finance"
1023,"FTX","FTX Token"
1024,"Symbiosis Labs","Serum"
1025,"Symbiosis Labs","Auctus"
1026,"DeversiFi","SpankChain"
1027,"FTX","OKB"
1028,"Symbiosis Labs","Wrapped Bitcoin"
1029,"dex.blue","Wrapped Bitcoin"
1030,"DeversiFi","Wrapped Bitcoin"
1031,"Coinbase","Wrapped Bitcoin"
1032,"CryptoLocally","UTRUST"
1033,"MXC","BitTorrent"
1034,"Decoin","BitTorrent"
1035,"CODEX","BitTorrent"
1036,"BigONE","Holo"
1037,"Symbiosis Labs","Siacoin"
1038,"Poloniex","Siacoin"
1039,"OKX","Siacoin"
1040,"MXC","Ankr"
1041,"Poloniex","MaidSafeCoin"
1042,"DeversiFi","MaidSafeCoin"
1043,"Decoin","MaidSafeCoin"
1044,"Symbiosis Labs","UMA"
1045,"Coinbase","UMA"
1046,"Symbiosis Labs","Jarvis Network"
1047,"FTX","Cosmos"
1048,"Crypto.com","Cosmos"
1049,"Coinbase","Cosmos"
1050,"BigONE","Cosmos"
1051,"Show all","Basic Attention Token"
1052,"Symbiosis Labs","Basic Attention Token"
1053,"Swapzone","Basic Attention Token"
1054,"Rain","Basic Attention Token"
1055,"Poloniex","Basic Attention Token"
1056,"Nash","Basic Attention Token"
1057,"Gemini","Basic Attention Token"
1058,"dex.blue","Basic Attention Token"
1059,"DeversiFi","Basic Attention Token"
1060,"Coinbase","Basic Attention Token"
1061,"Amplify Exchange","Basic Attention Token"
1062,"AAX","Basic Attention Token"
1063,"ZBG","Horizen"
1064,"DeversiFi","Status"
1065,"CODEX","Status"
1066,"Swapzone","Steem"
1067,"Huobi Global","Steem"
1068,"Bithumb","Lunyr"
1069,"Symbiosis Labs","InvestFeed"
1070,"Coinbase","InvestFeed"
1071,"Show all","Stellar"
1072,"ZB.com","Stellar"
1073,"XBTPro","Stellar"
1074,"Switchere","Stellar"
1075,"Swapzone","Stellar"
1076,"SwapSpace","Stellar"
1077,"ShortHop","Stellar"
1078,"Rain","Stellar"
1079,"Poloniex","Stellar"
1080,"Kraken","Stellar"
1081,"HitBTC","Stellar"
1082,"Exolix","Stellar"
1083,"Decoin","Stellar"
1084,"Crypto.com","Stellar"
1085,"Coinbase","Stellar"
1086,"Circle","Stellar"
1087,"ChangeNOW","Stellar"
1088,"Bitbuy","Stellar"
1089,"BigONE","Stellar"
1090,"Anycoin Direct","Stellar"
1091,"Amplify Exchange","Stellar"
1092,"HitBTC","Fastcoin"
1093,"ChangeNOW","Fastcoin"
1094,"SwissBorg","SwissBorg"
1095,"OKX","TrueUSD"
1096,"BTSE","TrueUSD"
1097,"Swapzone","Waves"
1098,"HitBTC","Waves"
1099,"MXC","Decentraland"
1100,"Coinbase","Decentraland"
1101,"SwissBorg","Enjin Coin"
1102,"DeversiFi","Enjin Coin"
1103,"CODEX","Enjin Coin"
1104,"CryptoLocally","WAX"
1105,"Coinbase","Filecoin"
1106,"Show all","BNB"
1107,"Worthpad","BNB"
1108,"WhaleFin","BNB"
1109,"Symbiosis Labs","BNB"
1110,"SwissBorg","BNB"
1111,"Swapzone","BNB"
1112,"SwapSpace","BNB"
1113,"ShapeShift","BNB"
1114,"MXC","BNB"
1115,"FTX","BNB"
1116,"CryptoLocally","BNB"
1117,"ChangeNOW","BNB"
1118,"C-Trade","BNB"
1119,"Bithumb","BNB"
1120,"Binance.US","BNB"
1121,"Binance","BNB"
1122,"BaseFEX","BNB"
1123,"ZebPay","Polygon"
1124,"Symbiosis Labs","Polygon"
1125,"Coinbase","Polygon"
1126,"MXC","COVA"
1127,"Crypto.com","Cronos"
1128,"Symbiosis Labs","Swipe"
1129,"WhaleFin","SHIBA INU"
1130,"Show all","Tether"
1131,"ZebPay","Tether"
1132,"ZB.com","Tether"
1133,"XT.COM Exchange","Tether"
1134,"WazirX","Tether"
1135,"Swapzone","Tether"
1136,"SwapSpace","Tether"
1137,"PrimeBit","Tether"
1138,"Poloniex","Tether"
1139,"Overbit","Tether"
1140,"OKX","Tether"
1141,"OKCoin","Tether"
1142,"Nash","Tether"
1143,"MXC","Tether"
1144,"Kraken","Tether"
1145,"Huobi Global","Tether"
1146,"FTX","Tether"
1147,"DeversiFi","Tether"
1148,"Decoin","Tether"
1149,"CryptoLocally","Tether"
1150,"CODEX","Tether"
1151,"ChangeNOW","Tether"
1152,"BTSE","Tether"
1153,"Bityard","Tether"
1154,"Binance.US","Tether"
1155,"BaseFEX","Tether"
1156,"AAX","Tether"
1157,"XBTPro","USD Coin"
1158,"SwissBorg","USD Coin"
1159,"SmartFi","USD Coin"
1160,"Poloniex","USD Coin"
1161,"OKX","USD Coin"
1162,"Nash","USD Coin"
1163,"Crypto.com","USD Coin"
1164,"Coinbase","USD Coin"
1165,"Circle","USD Coin"
1166,"BTSE","USD Coin"
1167,"Symbiosis Labs","Synthetix"
1168,"Coinbase","Synthetix"
1169,"WhaleFin","Polkadot"
1170,"WhaleFin","Terra"
1171,"WhaleFin","Avalanche"
1172,"Bithumb","Zilliqa"
1173,"Poloniex","Decred"
1174,"ChangeNOW","Decred"
