"id","company_name","sector"
210,"Blockchain, Inc.","Europe"
211,"Issuance","Software"
212,"Issuance","Marketing"
213,"Issuance","Advisory"
214,"Issuance","North America"
215,"BlockVC","Venture Capital"
216,"BlockVC","Research"
217,"BlockVC","Asset Management"
218,"BlockVC","Advisory"
219,"BlockVC","Accelerator"
220,"BlockVC","Asia"
221,"Node Capital","Venture Capital"
222,"Node Capital","Research"
223,"Node Capital","Accelerator"
224,"Node Capital","Asia"
225,"Blockchain Capital","Venture Capital"
226,"Blockchain Capital","Advisory"
227,"Blockchain Capital","North America"
228,"Andreessen Horowitz","Venture Capital"
229,"Andreessen Horowitz","North America"
230,"Pantera Capital","Venture Capital"
231,"Pantera Capital","North America"
232,"Digital Currency Group","Venture Capital"
233,"Digital Currency Group","North America"
234,"CrowdfundX","Marketing"
235,"CrowdfundX","Advisory"
236,"CrowdfundX","North America"
237,"Gresham International","Legal"
238,"Gresham International","North America"
239,"Gresham International","Europe"
240,"Bitmain","Mining Pool"
241,"Bitmain","Manufacturing"
242,"Bitmain","Asia"
243,"InboundJunction","Marketing"
244,"InboundJunction","Middle East"
245,"Omise","Software"
246,"Omise","Development"
247,"Omise","Asia"
248,"Coin Center","Research"
249,"Coin Center","Nonprofit"
250,"Coin Center","North America"
251,"Reflective Ventures","Venture Capital"
252,"Reflective Ventures","North America"
253,"Blockchain Transparency Institute","Research"
254,"Blockchain Transparency Institute","North America"
255,"Coinme","Retail"
256,"Coinme","Advisory"
257,"Coinme","North America"
258,"TF Blockchain","Media"
259,"TF Blockchain","Education"
260,"TF Blockchain","North America"
261,"Arrington XRP Capital","Asset Management"
262,"Arrington XRP Capital","North America"
263,"Pithia","Venture Capital"
264,"Pithia","North America"
265,"New Alchemy","Development"
266,"New Alchemy","Advisory"
267,"New Alchemy","North America"
268,"Bloccelerate","Venture Capital"
269,"Bloccelerate","Accelerator"
270,"Bloccelerate","North America"
271,"CryptoLaw Partners","Legal"
272,"CryptoLaw Partners","North America"
273,"Perkins Coie LLP","Legal"
274,"Perkins Coie LLP","North America"
275,"MarketAcross","Marketing"
276,"MarketAcross","Asia"
277,"Skew","Research"
278,"Skew","Europe"
279,"Xpring","Venture Capital"
280,"Xpring","Software"
281,"Xpring","Development"
282,"Xpring","Accelerator"
283,"Xpring","North America"
284,"Transparent Systems","Software"
285,"Transparent Systems","North America"
286,"MyCointainer","Software"
287,"MyCointainer","Education"
288,"MyCointainer","Asset Management"
289,"MyCointainer","Europe"
290,"Lightning Labs","Software"
291,"Lightning Labs","North America"
292,"YAP Global","Marketing"
293,"YAP Global","Europe"
294,"#Hashed","Asset Management"
295,"#Hashed","Accelerator"
296,"#Hashed","Asia"
297,"Truffle","Software"
298,"Truffle","Development"
299,"Truffle","North America"
300,"ShortHop","Exchange"
301,"ShortHop","North America"
302,"ZenLedger","Software"
303,"ZenLedger","North America"
304,"Huobi Global","Venture Capital"
305,"Huobi Global","Mining Pool"
306,"Huobi Global","Exchange"
307,"Huobi Global","Asia"
308,"Lendroid","Software"
309,"Lendroid","DeFi"
310,"BTSE","Exchange"
311,"BTSE","Middle East"
312,"Stellar Development Foundation","Software"
313,"Stellar Development Foundation","Nonprofit"
314,"Stellar Development Foundation","North America"
315,"BW.com","Exchange"
316,"BW.com","Oceania"
317,"TravelbyBit","Retail"
318,"TravelbyBit","Oceania"
319,"Conflux","Software"
320,"Conflux","Asia"
321,"dex.blue","Exchange"
322,"dex.blue","Europe"
323,"Ethereum Foundation","Nonprofit"
324,"Ethereum Foundation","Europe"
325,"IOTA Foundation","Nonprofit"
326,"IOTA Foundation","Europe"
327,"ZBG","Exchange"
328,"ZBG","Asia"
329,"ZB.com","Exchange"
330,"ZB.com","Europe"
331,"BaseFEX","Exchange"
332,"BaseFEX","Africa"
333,"Blox","Software"
334,"Blox","Middle East"
335,"ChangeNOW","Exchange"
336,"ChangeNOW","South America"
337,"PrimeBit","Exchange"
338,"PrimeBit","Caribbean"
339,"Decoin","Exchange"
340,"Decoin","Europe"
341,"Bitcoin of America","Retail"
342,"Bitcoin of America","Exchange"
343,"Bitcoin of America","North America"
344,"Cartesi","Software"
345,"Cartesi","Asia"
346,"FTX","Exchange"
347,"FTX","Caribbean"
348,"Bitwise","Research"
349,"Bitwise","Asset Management"
350,"Bitwise","North America"
351,"TokenMinds","Marketing"
352,"TokenMinds","Development"
353,"TokenMinds","Advisory"
354,"TokenMinds","Asia"
355,"TokenAnalyst","Research"
356,"TokenAnalyst","Europe"
357,"Bitcoin Club Malta","Education"
358,"Bitcoin Club Malta","Europe"
359,"BitCoke","Exchange"
360,"BitCoke","Asia"
361,"Coinfirm","Software"
362,"Coinfirm","Research"
363,"Coinfirm","Advisory"
364,"Coinfirm","Europe"
365,"Coinfirm","Asia"
366,"WTIA Cascadia Blockchain Council","Education"
367,"WTIA Cascadia Blockchain Council","North America"
368,"Ripple","Software"
369,"Ripple","North America"
370,"EAK Digital","Marketing"
371,"EAK Digital","Europe"
372,"R3","Software"
373,"R3","Research"
374,"R3","Development"
375,"R3","North America"
376,"Band Protocol","DeFi"
377,"Band Protocol","Asia"
378,"Messari","Research"
379,"Messari","North America"
380,"Blockstream","Software"
381,"Blockstream","North America"
382,"Overbit","Exchange"
383,"Overbit","Asia"
384,"OpenCrowd","Software"
385,"OpenCrowd","Development"
386,"OpenCrowd","North America"
387,"Mt. Gox","Exchange"
388,"Mt. Gox","Asia"
389,"LunarCRUSH","Research"
390,"LunarCRUSH","North America"
391,"CryptoLocally","Exchange"
392,"CryptoLocally","Asia"
393,"Draper Goren Holm","Venture Capital"
394,"Draper Goren Holm","Advisory"
395,"Draper Goren Holm","Accelerator"
396,"Draper Goren Holm","North America"
397,"Centrifuge","DeFi"
398,"Centrifuge","Europe"
399,"Digital Assets Data","Software"
400,"Digital Assets Data","Research"
401,"Digital Assets Data","North America"
402,"Gemini","Exchange"
403,"Gemini","North America"
404,"Neo Foundation","Software"
405,"Neo Foundation","Nonprofit"
406,"Neo Foundation","Asia"
407,"TaxBit","Software"
408,"TaxBit","North America"
409,"Santiment","Research"
410,"Santiment","Europe"
411,"Securitize","Software"
412,"Securitize","Asset Management"
413,"Securitize","North America"
414,"OKCoin","Exchange"
415,"OKCoin","North America"
416,"Celsius Network","Software"
417,"Celsius Network","Lending & Borrowing"
418,"Celsius Network","North America"
419,"Celsius Network","Europe"
420,"CipherTrace","Research"
421,"CipherTrace","Advisory"
422,"CipherTrace","North America"
423,"bitFlyer","Exchange"
424,"bitFlyer","North America"
425,"SIBEX","Exchange"
426,"SIBEX","Europe"
427,"EMURGO","Venture Capital"
428,"EMURGO","Software"
429,"EMURGO","Advisory"
430,"EMURGO","Accelerator"
431,"EMURGO","Asia"
432,"SwapSpace","Exchange"
433,"SwapSpace","Oceania"
434,"Crypto.Games","Casino"
435,"Crypto.Games","South America"
436,"Compound","Lending & Borrowing"
437,"Compound","DeFi"
438,"Compound","North America"
439,"YouHodler","Lending & Borrowing"
440,"YouHodler","Asset Management"
441,"YouHodler","Europe"
442,"Bluezelle","Software"
443,"Bluezelle","Asia"
444,"Phemex","Exchange"
445,"Phemex","Asia"
446,"Sportsbet.io","Casino"
447,"Sportsbet.io","South America"
448,"Nym","Software"
449,"Nym","Research"
450,"Nym","Europe"
451,"Bitfinex","Exchange"
452,"Bitfinex","Asia"
453,"Bityard","Exchange"
454,"Bityard","Asia"
455,"Solana","Software"
456,"Solana","North America"
457,"Switchere","Exchange"
458,"Switchere","Europe"
459,"Bittrex","Exchange"
460,"Bittrex","North America"
461,"XBTPro","Exchange"
462,"XBTPro","North America"
