"id","product_name","ccy"
186,"Digital BitBox","Bitcoin"
187,"Bitpay Wallet","Bitcoin Cash"
188,"Bitpay Wallet","Bitcoin"
189,"Axie Infinity","Ethereum"
190,"Abra","Vertcoin"
191,"Abra","Stratis"
192,"Abra","Status"
193,"Abra","NEM"
194,"Abra","Lisk"
195,"Abra","Neo"
196,"Abra","Ethereum Classic"
197,"Abra","DigiByte"
198,"Abra","Bitcoin Gold"
199,"Abra","Augur"
200,"Abra","0x"
201,"Abra","Verge"
202,"Abra","Stellar"
203,"Abra","Zcash"
204,"Abra","Qtum"
205,"Abra","Dogecoin"
206,"Abra","Dash"
207,"Abra","Monero"
208,"Abra","Bitcoin Cash"
209,"Abra","Ethereum"
210,"Abra","Litecoin"
211,"Abra","XRP"
212,"Abra","Bitcoin"
213,"MyCrypto","Musicoin"
214,"MyCrypto","Expanse"
215,"MyCrypto","Ubiq"
216,"MyCrypto","Ethereum Classic"
217,"MyCrypto","Ethereum"
218,"CryptoGirl","Ethereum"
219,"Xapo","Bitcoin"
220,"0xUniverse","Ethereum"
221,"ETH.TOWN","Ethereum"
222,"Etheremon","Ethereum"
223,"Robinhood","Litecoin"
224,"Robinhood","Ethereum Classic"
225,"Robinhood","Ethereum"
226,"Robinhood","Dogecoin"
227,"Robinhood","Bitcoin Cash"
228,"Robinhood","Bitcoin"
229,"Coinbase App","0x"
230,"Coinbase App","Stellar"
231,"Coinbase App","Zcash"
232,"Coinbase App","Basic Attention Token"
233,"Coinbase App","XRP"
234,"Coinbase App","Ethereum Classic"
235,"Coinbase App","Litecoin"
236,"Coinbase App","Ethereum"
237,"Coinbase App","Bitcoin Cash"
238,"Coinbase App","Bitcoin"
239,"XFX Radeon RX 580 GTS XXX Edition","Bitcoin"
240,"XFX Radeon RX 580 GTS XXX Edition","Zcash"
241,"XFX Radeon RX 580 GTS XXX Edition","Ethereum"
242,"Innosilicon S11 SiaMaster","Siacoin"
243,"Antminer T9+","UnbreakableCoin"
244,"Antminer T9+","Joulecoin"
245,"Antminer T9+","Acoin"
246,"Antminer T9+","Curecoin"
247,"Antminer T9+","Terracoin"
248,"Antminer T9+","Crown"
249,"Antminer T9+","Bitcoin Cash"
250,"Antminer T9+","Peercoin"
251,"Antminer T9+","Bitcoin"
252,"Canaan Avalon 841","Bitcoin"
253,"Canaan Avalon 821","Bitcoin"
254,"Sapphire Radeon Tri-X R9 290X","Ethereum"
255,"Nvidia GeForce GTX 970","Ethereum"
256,"ASUS Mining RX 470 4G Graphics Card","Ethereum"
257,"Peepeth","Ethereum"
258,"Innosilicon A9 ZMaster","Hush"
259,"Innosilicon A9 ZMaster","ZenCash"
260,"Innosilicon A9 ZMaster","Zcash"
261,"KeepKey","0x"
262,"KeepKey","Wings"
263,"KeepKey","WeTrust"
264,"KeepKey","TenX"
265,"KeepKey","Swarm City"
266,"KeepKey","Storj"
267,"KeepKey","Status"
268,"KeepKey","SingularDTV"
269,"KeepKey","SALT"
270,"KeepKey","Ripio Credit Network"
271,"KeepKey","Numeraire"
272,"KeepKey","Metal"
273,"KeepKey","Enzyme"
274,"KeepKey","Matchpool"
275,"KeepKey","iExec RLC"
276,"KeepKey","Iconomi"
277,"KeepKey","Golem"
278,"KeepKey","Gnosis"
279,"KeepKey","FunFair"
280,"KeepKey","FirstBlood"
281,"KeepKey","Edgeless"
282,"KeepKey","district0x"
283,"KeepKey","DigixDAO"
284,"KeepKey","Civic"
285,"KeepKey","Bancor"
286,"KeepKey","Basic Attention Token"
287,"KeepKey","Augur"
