"id","person_name","work"
120,"Jeff Garzik","Bloq - Co-Founder"
121,"Amber Baldet","Clovyr - Co-Founder & CEO"
122,"Jesse Powell","Kraken -CEO & Co-Founder"
123,"Bill Barhydt",""
124,"Bill Barhydt","ACTV8.me - Partner & Co-Founder"
125,"Bill Barhydt","BoostVC - Advisor"
126,"Bill Barhydt","Eseye - Board Advisor"
127,"Bill Barhydt","Abra -Founder & CEO"
128,"Derrick Foote","Temporal -CEO & Founder"
129,"Andy Cheung","OKX -Head of Operations"
130,"Wei Zhou","Binance -CFO"
131,"Luis Cuende","Unpatent - Co-Founder & CEO"
132,"Luis Cuende","Aragon -Co-Founder & CEO"
133,"Yoni Assia","eToro -CEO & Founder"
134,"Michael Moro","Genesis Global Capital - CEO"
135,"Michael Moro","Genesis Trading - CEO"
136,"Vlad Zamfir","Ethereum Foundation -Researcher"
137,"Chris Burniske","Placeholder VC - Partner"
138,"Sam Kazemian","Decentral - CEO"
139,"Sam Kazemian","Everipedia -Co-Founder & President"
140,"Hal Finney","Cryptographer - Retired"
141,"Gabriel Anderson","Tachyon -Managing Director"
142,"Dave Kleiman","Self-Employed - Computer Forensics Expert"
143,"Nikolay Storonsky","Revolut -Founder & CEO"
144,"Jacobo Toll-Messia","Hubii Network -Founder & CEO"
145,"Peter Wood","BitBroker - CEO & Co-Founder"
146,"Peter Wood","CoinBurp - CEO & Co-Founder"
147,"Kwun-Phite Lock","BXB Exchange - CEO"
148,"Mel Gelderman","Monolith Studio - CEO"
149,"Tim Coulter","ConsenSys -Full Stack Developer"
150,"Tim Coulter","Truffle -CEO & Founder"
151,"Min Kim","ICON Foundation - Council Member"
152,"Min Kim","ICON -Co-Founder"
153,"Jonathan G. Blanco","TF Blockchain -Founder & CEO"
154,"Kristy-Leigh Minehan",""
155,"Kristy-Leigh Minehan","ProgPow - Miss If of IfDefElse"
156,"Kristy-Leigh Minehan","Core Scientific -Former CTO"
157,"Samantha Yap","YAP Global -Founder & Director"
158,"Dave Pulis","EuroMed Capital - Board of Directors"
159,"Dave Pulis","ZBX -CEO"
160,"Kate Mitselmakher","Alchemist Accelerator - Mentor"
161,"Kate Mitselmakher","Bloccelerate -General Partner"
162,"Chris Jones","CodeNgo - Co-Founder"
163,"Chris Jones","The E201 Group - Managing Director"
164,"Chris Jones","Blockchain Seattle - Co-Founder"
