"id","company_name","gallery"
63,"Kraken","https://cryptoslate.com/wp-content/uploads/2018/10/kraken-company-gallery-02.jpg"
64,"Kraken","https://cryptoslate.com/wp-content/uploads/2018/10/kraken-company-gallery-01.jpg"
65,"CryptoPanic","https://cryptoslate.com/wp-content/uploads/2018/10/Cryptopanic-screenshot-1.jpg"
66,"Hyperledger","https://cryptoslate.com/wp-content/uploads/2018/10/hyperledger-screenshot-03.jpg"
67,"Hyperledger","https://cryptoslate.com/wp-content/uploads/2018/10/hyperledger-screenshot-02.jpg"
68,"Hyperledger","https://cryptoslate.com/wp-content/uploads/2018/10/hyperledger-screenshot-01.jpg"
69,"Goldman Sachs","https://cryptoslate.com/wp-content/uploads/2018/10/Goldman-Sachs-company-gallery-2.jpg"
70,"Goldman Sachs","https://cryptoslate.com/wp-content/uploads/2018/10/Goldman-Sachs-company-gallery-1.jpg"
71,"BitGo","https://cryptoslate.com/wp-content/uploads/2018/10/BitGo-company-image-gallery-01.jpg"
72,"Blockchain, Inc.","https://cryptoslate.com/wp-content/uploads/2018/09/Blockchain-team-image-gallery-02.jpg"
73,"Blockchain, Inc.","https://cryptoslate.com/wp-content/uploads/2018/09/Blockchain-team-image-gallery-01.jpg"
74,"Issuance","https://cryptoslate.com/wp-content/uploads/2018/09/issuance-screenshot-01.jpg"
75,"Node Capital","https://cryptoslate.com/wp-content/uploads/2018/09/Node-Capital-company-image-gallery-01.jpg"
76,"Omise","https://cryptoslate.com/wp-content/uploads/2018/09/omise-company-gallery-01.jpg"
77,"TF Blockchain","https://cryptoslate.com/wp-content/uploads/2018/09/tf-blockchain-gallery-02.jpg"
78,"TF Blockchain","https://cryptoslate.com/wp-content/uploads/2018/09/tf-blockchain-gallery-01.jpg"
79,"TF Blockchain","https://cryptoslate.com/wp-content/uploads/2018/09/tf-blockchain-gallery-03.jpg"
80,"Skew","https://cryptoslate.com/wp-content/uploads/2019/11/skew-gallery-03.jpg"
81,"Skew","https://cryptoslate.com/wp-content/uploads/2019/11/skew-gallery-02.jpg"
82,"Skew","https://cryptoslate.com/wp-content/uploads/2019/11/skew-gallery-01.jpg"
83,"MyCointainer","https://cryptoslate.com/wp-content/uploads/2020/02/MyContainer-gallery-03.jpg"
84,"MyCointainer","https://cryptoslate.com/wp-content/uploads/2020/02/MyContainer-gallery-02.jpg"
85,"MyCointainer","https://cryptoslate.com/wp-content/uploads/2020/02/MyContainer-gallery-01.jpg"
86,"#Hashed","https://cryptoslate.com/wp-content/uploads/2018/09/hashed-gallery-image-3.jpg"
87,"#Hashed","https://cryptoslate.com/wp-content/uploads/2018/09/hashed-gallery-image-2.jpg"
88,"#Hashed","https://cryptoslate.com/wp-content/uploads/2018/09/hashed-gallery-image-1.jpg"
89,"Truffle","https://cryptoslate.com/wp-content/uploads/2019/07/truffle-gallery-1.jpg"
90,"Truffle","https://cryptoslate.com/wp-content/uploads/2019/07/truffle-gallery-2.jpg"
91,"Truffle","https://cryptoslate.com/wp-content/uploads/2019/07/truffle-gallery-3.jpg"
92,"ShortHop","https://cryptoslate.com/wp-content/uploads/2019/12/Shorthop-gallery-3.jpg"
93,"ShortHop","https://cryptoslate.com/wp-content/uploads/2019/12/Shorthop-gallery-2.jpg"
94,"ShortHop","https://cryptoslate.com/wp-content/uploads/2019/12/Shorthop-gallery-1.jpg"
95,"ZenLedger","https://cryptoslate.com/wp-content/uploads/2018/09/Zenledger-company-gallery-1.jpg"
96,"BW.com","https://cryptoslate.com/wp-content/uploads/2020/02/BW-gallery-3.jpg"
97,"BW.com","https://cryptoslate.com/wp-content/uploads/2020/02/BW-gallery-2.jpg"
98,"BW.com","https://cryptoslate.com/wp-content/uploads/2020/02/BW-gallery-1.jpg"
99,"ZBG","https://cryptoslate.com/wp-content/uploads/2020/02/ZBG-social-2.jpg"
100,"ZBG","https://cryptoslate.com/wp-content/uploads/2020/02/ZBG-social-1.jpg"
101,"ZBG","https://cryptoslate.com/wp-content/uploads/2020/02/ZBG-social-3.jpg"
102,"ZB.com","https://cryptoslate.com/wp-content/uploads/2020/03/Zp-company-gallery-image-4.jpg"
103,"ZB.com","https://cryptoslate.com/wp-content/uploads/2020/03/Zp-company-gallery-image-3.jpg"
104,"ZB.com","https://cryptoslate.com/wp-content/uploads/2020/03/Zp-company-gallery-image-2.jpg"
105,"BaseFEX","https://cryptoslate.com/wp-content/uploads/2020/03/BaseFEX-gallery-3.jpg"
106,"BaseFEX","https://cryptoslate.com/wp-content/uploads/2020/03/BaseFEX-gallery-2.jpg"
107,"BaseFEX","https://cryptoslate.com/wp-content/uploads/2020/03/BaseFEX-gallery-1.jpg"
108,"ChangeNOW","https://cryptoslate.com/wp-content/uploads/2018/12/ChangeNOW-gallery-screenshot-02.jpg"
109,"ChangeNOW","https://cryptoslate.com/wp-content/uploads/2018/12/ChangeNOW-gallery-screenshot-01.jpg"
110,"Decoin","https://cryptoslate.com/wp-content/uploads/2020/02/Decoin-gallery-1.jpg"
111,"Bitcoin of America","https://cryptoslate.com/wp-content/uploads/2019/12/Bitcoin-of-America-gallery-3.jpg"
112,"Bitcoin of America","https://cryptoslate.com/wp-content/uploads/2019/12/Bitcoin-of-America-gallery-1.jpg"
113,"Bitcoin of America","https://cryptoslate.com/wp-content/uploads/2019/12/Bitcoin-of-America-gallery-2.jpg"
