"id","sector","token_name"
211,"Exchange","LAPO Blockchain"
212,"Coin","LAPO Blockchain"
213,"AI","LAPO Blockchain"
214,"PoW","Karbo"
215,"Exchange","Karbo"
216,"Coin","Karbo"
217,"Social","Interplanetary Broadcast Coin"
218,"Inactive","Interplanetary Broadcast Coin"
219,"Entertainment","Interplanetary Broadcast Coin"
220,"Coin","Interplanetary Broadcast Coin"
221,"PoW","Polcoin"
222,"Inactive","Polcoin"
223,"Coin","Polcoin"
224,"PoW","Uniform Fiscal Object"
225,"Inactive","Uniform Fiscal Object"
226,"Coin","Uniform Fiscal Object"
227,"PoW","Datacoin"
228,"Coin","Datacoin"
229,"PoS","BitWhite"
230,"Coin","BitWhite"
231,"PoW","Levocoin"
232,"PoS","Levocoin"
233,"Inactive","Levocoin"
234,"Coin","Levocoin"
235,"PoW","W3Coin"
236,"Coin","W3Coin"
237,"PoW","Slothcoin"
238,"Coin","Slothcoin"
239,"PoW","SJWCoin"
240,"Inactive","SJWCoin"
241,"Coin","SJWCoin"
242,"PoW","LeafCoin"
243,"Inactive","LeafCoin"
244,"Coin","LeafCoin"
245,"PoW","MktCoin"
246,"Coin","MktCoin"
247,"PoW","GrandCoin"
248,"Inactive","GrandCoin"
249,"Coin","GrandCoin"
250,"PoW","KlondikeCoin"
251,"Coin","KlondikeCoin"
252,"PoS","NumusCash"
253,"Inactive","NumusCash"
254,"Coin","NumusCash"
255,"Inactive","Health Mutual Society"
256,"Coin","Health Mutual Society"
257,"PoS","Bitcoin White"
258,"Inactive","Bitcoin White"
259,"Coin","Bitcoin White"
260,"PoW","GCN Coin"
261,"Coin","GCN Coin"
262,"PoS","TOKYO"
263,"Coin","TOKYO"
264,"PoW","Bitcoin Atom [Futures]"
265,"Coin","Bitcoin Atom [Futures]"
266,"PoW","Bean Cash"
267,"Coin","Bean Cash"
268,"PoW","Steneum Coin"
269,"Inactive","Steneum Coin"
270,"Coin","Steneum Coin"
271,"PoS","Bitcoin God"
272,"Coin","Bitcoin God"
273,"PoW","Madcoin"
274,"PoS","Madcoin"
275,"Coin","Madcoin"
276,"PoW","OP Coin"
277,"PoS","OP Coin"
278,"Coin","OP Coin"
279,"PoW","Lightning Bitcoin [Futures]"
280,"PoS","Lightning Bitcoin [Futures]"
281,"Coin","Lightning Bitcoin [Futures]"
282,"PoW","HomeBlockCoin"
283,"PoS","HomeBlockCoin"
284,"Coin","HomeBlockCoin"
285,"PoW","Farstcoin"
286,"PoS","Farstcoin"
287,"Inactive","Farstcoin"
288,"Coin","Farstcoin"
289,"PoW","HTMLCOIN"
290,"PoS","HTMLCOIN"
291,"Coin","HTMLCOIN"
292,"PoW","BitcoinX [Futures]"
293,"PoS","BitcoinX [Futures]"
294,"Coin","BitcoinX [Futures]"
295,"PoW","United Bitcoin"
296,"Coin","United Bitcoin"
297,"PoW","YENTEN"
298,"Coin","YENTEN"
299,"PoW","DavorCoin"
300,"PoS","DavorCoin"
301,"Inactive","DavorCoin"
302,"Coin","DavorCoin"
303,"Social","Pioneer Coin"
304,"PoW","Pioneer Coin"
305,"Coin","Pioneer Coin"
306,"PoW","Super Bitcoin [Futures]"
307,"Inactive","Super Bitcoin [Futures]"
308,"Coin","Super Bitcoin [Futures]"
309,"PoS","TokenPay"
310,"Coin","TokenPay"
311,"PoW","StrikeBitClub"
312,"PoS","StrikeBitClub"
313,"Coin","StrikeBitClub"
314,"PoS","MagicCoin"
315,"Inactive","MagicCoin"
316,"Coin","MagicCoin"
