"id","company_name","team"
116,"Crypto Finance","Raymond J. BaerBoard Member at Crypto Finance AG"
117,"Crypto Finance","Alexander Vogel, LL.M.Board Member at Crypto Broker AG"
118,"Crypto Finance","Jan BrzezekCEO, Founder & Board Member at Crypto Finance AG"
119,"tZERO","Alan KonevskyCLO"
120,"tZERO","Joel QuallCFO"
121,"tZERO","Amit GoyalCTO"
122,"tZERO","Elliot GrossmanCEO, Retail Division"
123,"tZERO","Steve HopkinsPresident"
124,"tZERO","Saum NoursalehiCEO"
125,"Bitcoin Foundation","Vinny LinghamBoard Member"
126,"Bitcoin Foundation","Michael PerklinBoard Member"
127,"Bitcoin Foundation","Bruce FentonBoard Member"
128,"Bitcoin Foundation","Bobby LeeVice Chairman"
129,"Bitcoin Foundation","Brock PierceChairman"
130,"nChain","Craig WrightChief Scientist"
131,"nChain","Jimmy NguyenChair, Strategic Advisory Board (ex-CEO)"
132,"nChain","David WashburnCEO"
133,"Morgan Creek Digital Assets","Anthony PomplianoFounder and Partner"
134,"Morgan Creek Digital Assets","Mark YuskoFounder, CEO, and Chief Investment Officer"
135,"Block.one","James MendesChief People Officer"
136,"Block.one","Alex ErasmusChief Legal Officer"
137,"Block.one","Eddie SchwartzChief Information Security Officer"
138,"Block.one","Kokuei (Guo) YuanExecutive Chairman"
139,"Block.one","Michael AlexanderChief Executive Officer, EOS VC"
140,"Block.one","Steve EllisChief Financial Officer"
141,"Block.one","Andrew BlissChief Operating Officer"
142,"Block.one","Rob JesudasonGroup President"
143,"Block.one","Dan LarimerChief Technology Officer"
144,"Block.one","Brock PierceCo-Founder"
145,"Block.one","Brendan BlumerChief Executive Officer"
146,"Blockstation","Jai WatermanCTO & Chief Enterprise Architect, Co-founder"
147,"Blockstation","Marko M. HafezPresident, Co-founder"
148,"ARYZE","Michaela HendricksonBrand Manager"
149,"ARYZE","Jodi Usama HusainIT & Business Development"
150,"ARYZE","Rasmus BruunCCO"
151,"ARYZE","Carl JensterCo-founder & Community Manager"
152,"ARYZE","Morten NielsenCo-founder & CFO"
153,"ARYZE","Jack NikogosianFounder & CEO"
154,"CODEX","Katoshi DoljenkoCMO"
155,"CODEX","Yaroslav ShchubelkaPM"
156,"CODEX","Stan CherviakovCTO"
157,"CODEX","Serge VasylchukFounder & CEO"
158,"Bitfury","Valery NebesnyCo-Founder & Strategic Technical Advisor, past CTO"
159,"Bitfury","Valery VavilovCo-Founder & Chief Executive Officer"
160,"Mastercard","Ajay BangaPresident and Chief Executive Officer"
161,"ShapeShift","JonCo-Founder & Chief Operating Officer"
162,"ShapeShift","Erik VoorheesFounder & CEO"
163,"TokenInsight","Alex ZuoCo-Founder & COO"
164,"TokenInsight","Tao HuFounder & CEO"
165,"AZ Blockchain","Andrew ZapotochnyiCEO"
166,"Fidelity Investments","Abigail JohnsonCEO"
167,"Genesis Mining","Björn ArztChief Legal Officer"
168,"Genesis Mining","Shah HafiziChief Compliance Officer"
169,"Genesis Mining","Philip SalterHead of Operations"
170,"Genesis Mining","Marco StrengCo-Founder"
171,"Genesis Mining","Dr. Marco KrohnCEO & Co-Founder"
172,"Poloniex","Tristan D'AgostaFounder and CEO"
173,"Digital Ark","Alexander MunnikDirector"
174,"Digital Ark","Chris PsallidasFounder"
175,"Openledger","Ronny BoesingCEO and Founder"
176,"Kraken","Dan HeldDirector of Business Development"
177,"Kraken","Jesse PowellCEO and Co-founder"
178,"CryptoPanic","Kaspars SprogisFounder"
179,"Bitstamp","Stéphane LeloupHead of Legal"
180,"Bitstamp","Michel LeyersChief Compliance Officer"
181,"Bitstamp","Vasja ZupanChief Operating Officer"
182,"Bitstamp","David OsojnikChief Technology Officer"
183,"Bitstamp","Edward KempChief Financial Officer"
184,"Bitstamp","Nejc KodričChief Executive Officer"
185,"Hyperledger","Jessica RampenSr. PR Manager"
186,"Hyperledger","Emily KurzeSr. Marketing Manager"
187,"Hyperledger","David HusebySecurity Maven"
188,"Hyperledger","David BoswellDirector of Ecosystem"
189,"Hyperledger","Daniela BarbosaVP of World Wide Alliances"
190,"Hyperledger","Brian BehlendorfExecutive Director"
191,"Goldman Sachs","Martin ChavezExecutive Vice President and Chief Financial Officer"
192,"Goldman Sachs","John E. WaldronPresident and Chief Operating Officer"
193,"Goldman Sachs","David SolomonChief Executive Officer"
194,"Goldman Sachs","Lloyd C. BlankfeinChairman"
195,"Bithumb","Junga LeeVP"
196,"Bithumb","Heo Back-YoungCEO"
197,"Digital Asset Management","Thomas JohnsonCo founder and Head of Operations"
198,"Digital Asset Management","Philip VasquezCo Founder & Head of Compliance"
